id,pod,pod_detail1,pod_detail2,act,value
RCB,AE,DVTFA,,469,174468
RCB,AE,DVTFU,,305,49715
RCB,AE,TRI,,130,650
RCB,AE,VB01Z,,88,21747.97134
RCB,AE,VB02Z,,751,175503.8125
RCB,AE,VB03Z,,2557,507656.7156
RCB,AE,VB04Z,,5768,1007975.869
RCB,AE,VB05Z,,2019,304808.6965
RCB,AE,VB06Z,,1894,199764.5059
RCB,AE,VB07Z,,10742,1421782.933
RCB,AE,VB08Z,,17859,2142166.905
RCB,AE,VB09Z,,21884,1832946.985
RCB,AE,VB10Z,,9,530.463546
RCB,AE,VB11Z,,9402,544435.5215
RCB,AE,YDTRI,,519,2595
RCB,DC,AA,,142,163307.2871
RCB,DC,AB,,1028,414145.1955
RCB,DC,BZ,,2850,2255736.772
RCB,DC,CZ,,721,755968.4594
RCB,DC,DZ,,357,234604.2503
RCB,DC,EA,,516,830491.8663
RCB,DC,EB,,113,88676.33979
RCB,DC,FZ,,11046,5036680.02
RCB,DC,GA,,91,168395.8078
RCB,DC,GB,,69,59329.19379
RCB,DC,GC,,21,12421.94655
RCB,DC,HA,,168,517382.9147
RCB,DC,HB,,1405,1952144.109
RCB,DC,HC,,120,102835.4769
RCB,DC,HD,,1486,692531.0167
RCB,DC,HR,,21,147106.4134
RCB,DC,JA,,290,362277.6487
RCB,DC,JC,,523,370906.7292
RCB,DC,JD,,26,31890.88932
RCB,DC,KA,,15,16167.24667
RCB,DC,KB,,2,1057.824966
RCB,DC,KC,,669,199414.9997
RCB,DC,LA,,74,29294.40986
RCB,DC,LB,,5237,1683069.836
RCB,DC,MA,,600,418563.6569
RCB,DC,MB,,6,3205.5302
RCB,DC,PA,,174,122477.4375
RCB,DC,QZ,,565,603869.1535
RCB,DC,RC,,82,103614.1105
RCB,DC,SA,,1773,697214.5176
RCB,DC,WA,,1313,489038.5995
RCB,DC,WD,,1,3579
RCB,EL,AA,,21,60414.93789
RCB,EL,AB,,18,50435.39855
RCB,EL,BZ,,111,113923.5093
RCB,EL,CZ,,276,357140.5281
RCB,EL,DZ,,44,73926.76471
RCB,EL,EA,,77,257850.7812
RCB,EL,EB,,26,34696.24527
RCB,EL,FZ,,695,1916834.677
RCB,EL,GA,,202,385891.0319
RCB,EL,GB,,107,91876.69978
RCB,EL,GC,,8,11704.3214
RCB,EL,HA,,78,251841.0945
RCB,EL,HB,,412,1909555.021
RCB,EL,HC,,7,15410.32793
RCB,EL,HD,,6,3412.3386
RCB,EL,HR,,106,989908.0534
RCB,EL,JA,,246,591633.3346
RCB,EL,JC,,49,66634.70052
RCB,EL,JD,,6,7526.791718
RCB,EL,KA,,41,102561.4558
RCB,EL,KC,,3,2720.564502
RCB,EL,LA,,24,41708.08407
RCB,EL,LB,,791,1255400.405
RCB,EL,MA,,383,862760.181
RCB,EL,MB,,13,13634.87781
RCB,EL,NZ,,26,45863.89887
RCB,EL,PA,,31,36428.03319
RCB,EL,PB,,4,1654.4672
RCB,EL,QZ,,152,467702.3668
RCB,EL,RC,,39,88187.23793
RCB,EL,SA,,28,17451.85147
RCB,EL,VA,,2,5009.93349
RCB,EL,WA,,225,120325.4426
RCB,FA,FAMPCL,100,483,110876.1875
RCB,FA,FAMPCL,103,4,686.603888
RCB,FA,FAMPCL,104,259,34280.56038
RCB,FA,FAMPCL,106,170,25137.56102
RCB,FA,FAMPCL,107,1,180.95735
RCB,FA,FAMPCL,110,660,88720.8036
RCB,FA,FAMPCL,120,159,27292.50455
RCB,FA,FAMPCL,130,111,14232.55409
RCB,FA,FAMPCL,171,44,7643.638464
RCB,FA,FAMPCL,190,7,680.399636
RCB,FA,FAMPCL,191,771,129951.1603
RCB,FA,FAMPCL,216,188,31881.58294
RCB,FA,FAMPCL,218,15,3270
RCB,FA,FAMPCL,252,18,7091.460036
RCB,FA,FAMPCL,253,13,6156.686068
RCB,FA,FAMPCL,258,1,300.906222
RCB,FA,FAMPCL,291,1,575
RCB,FA,FAMPCL,300,493,130504.3727
RCB,FA,FAMPCL,302,14,2707.121956
RCB,FA,FAMPCL,303,683,323462.8142
RCB,FA,FAMPCL,307,481,101961.7114
RCB,FA,FAMPCL,315,3,618
RCB,FA,FAMPCL,320,39,9194.701464
RCB,FA,FAMPCL,328,7,651
RCB,FA,FAMPCL,329,134,41984.17328
RCB,FA,FAMPCL,329/BP,7,2193.203082
RCB,FA,FAMPCL,330,773,97516.36485
RCB,FA,FAMPCL,361,108,34619.72616
RCB,FA,FAMPCL,401,320,197440
RCB,FA,FAMPCL,420,163,39271.88112
RCB,FA,FAMPCL,430,43,10760.24105
RCB,FA,FAMPCL,502,275,42369.87095
RCB,FA,FAMPCL,503,26,5403.903492
RCB,FA,FASPCL,100,4092,605075.8806
RCB,FA,FASPCL,101,2902,393103.4748
RCB,FA,FASPCL,103,1293,221944.7068
RCB,FA,FASPCL,104,682,84625.99728
RCB,FA,FASPCL,106,67,7759.451168
RCB,FA,FASPCL,107,960,162799.5725
RCB,FA,FASPCL,110,8586,1136420.43
RCB,FA,FASPCL,120,3933,431090.0417
RCB,FA,FASPCL,130,8209,950706.4871
RCB,FA,FASPCL,160,457,53398.96292
RCB,FA,FASPCL,180,57,12882
RCB,FA,FASPCL,190,187,18176.39028
RCB,FA,FASPCL,191,309,52081.59341
RCB,FA,FASPCL,214,5,744.51024
RCB,FA,FASPCL,223,69,15054.61748
RCB,FA,FASPCL,291,229,131675
RCB,FA,FASPCL,300,102,19090.4834
RCB,FA,FASPCL,301,2501,468091.1666
RCB,FA,FASPCL,302,18,3480.585372
RCB,FA,FASPCL,303,668,196860.916
RCB,FA,FASPCL,306,211,39491.09802
RCB,FA,FASPCL,307,244,50713.55585
RCB,FA,FASPCL,315,169,34814
RCB,FA,FASPCL,320,8475,1437214.976
RCB,FA,FASPCL,324,21,4704
RCB,FA,FASPCL,329,682,213680.6431
RCB,FA,FASPCL,329/BP,123,38537.7113
RCB,FA,FASPCL,330,2456,269198.3581
RCB,FA,FASPCL,340,1727,321442.2961
RCB,FA,FASPCL,341,633,108000.5167
RCB,FA,FASPCL,361,292,80316.11022
RCB,FA,FASPCL,400,1840,402960
RCB,FA,FASPCL,401,375,123375
RCB,FA,FASPCL,410,1526,351882.4245
RCB,FA,FASPCL,420,2448,556893.6595
RCB,FA,FASPCL,430,1513,378610.3421
RCB,FA,FASPCL,502,4194,594137.7843
RCB,FA,FASPCL,822,86,3870
RCB,FUP,FUPMPCL,100,661,86804.72377
RCB,FUP,FUPMPCL,101,1,107.540368
RCB,FUP,FUPMPCL,104,243,25378.49281
RCB,FUP,FUPMPCL,106,166,17165.0972
RCB,FUP,FUPMPCL,110,796,69963.28172
RCB,FUP,FUPMPCL,120,264,24841.82501
RCB,FUP,FUPMPCL,130,446,42889.99408
RCB,FUP,FUPMPCL,171,130,15055.65152
RCB,FUP,FUPMPCL,190,349,29953.09461
RCB,FUP,FUPMPCL,191,898,84499.84416
RCB,FUP,FUPMPCL,216,324,44893.96747
RCB,FUP,FUPMPCL,218,28,6104
RCB,FUP,FUPMPCL,252,112,22930.91539
RCB,FUP,FUPMPCL,253,18,3983.129784
