Year,HRG_Chapter,HRG,Unit_Cost,Activity,Total_Cost
2015,A,AA20A,3490,1,3490
2015,A,AA23A,3878,80,310277
2015,A,AA23B,1591,14,22271
2015,A,AA28A,3088,2,6176
2015,A,AA29B,512,17,8701
2015,A,AB04Z,2279,3,6837
2015,A,AB09Z,2164,1,2164
2015,B,BZ22Z,1950,3,5851
2015,C,CZ02X,1672,1,1672
2015,C,CZ12V,1706,57,97227
2015,C,CZ12Y,841,14,11767
2015,C,CZ22W,1538,22,33828
2015,C,CZ22Y,664,134,88923
2015,C,CZ24O,3942,4,15768
2015,C,CZ34U,942,1,942
2015,C,CZ37Y,1050,1,1050
2015,D,DZ03A,6470,4,25880
2015,D,DZ03B,2750,1,2750
2015,D,DZ09B,1531,51,78077
2015,D,DZ16A,3292,39,128397
2015,D,DZ16B,1333,19,25336
2015,D,DZ21B,3250,3,9750
2015,D,DZ21K,1566,53,83011
2015,D,DZ22A,2617,119,311481
2015,D,DZ22B,1240,140,173658
2015,D,DZ23C,527,1,527
2015,D,DZ27F,1588,1,1588
2015,D,DZ37A,676,8,5410
2015,E,EA07Z,12068,3,36205
2015,E,EA11Z,3330,1,3330
2015,E,EA31Z,3555,102,362585
2015,E,EA35Z,3400,13,44198
2015,E,EA36A,3067,257,788265
2015,E,EA47Z,538,9,4839
2015,E,EA54Z,4432,2,8864
2015,E,EB02Z,6270,4,25082
2015,F,FZ18A,7292,4,29166
2015,F,FZ18B,2448,22,53849
2015,F,FZ20E,2430,62,150633
2015,F,FZ21A,1894,18,34094
2015,F,FZ24C,986,6,5919
2015,F,FZ37J,1545,18,27807
2015,F,FZ41D,2930,4,11722
2015,F,FZ41E,1601,24,38431
2015,F,FZ44C,537,1,537
2015,F,FZ47C,803,598,480341
2015,F,FZ48A,3523,13,45799
2015,F,FZ48B,2096,3,6288
2015,F,FZ49B,2724,6,16344
2015,F,FZ52Z,795,1,795
2015,F,FZ53Z,832,5,4162
2015,F,FZ57Z,574,5,2869
2015,F,FZ63Z,706,1,706
2015,F,FZ65Z,624,2,1247
2015,F,FZ66A,7667,36,276027
2015,F,FZ66B,4583,6,27497
2015,F,FZ74A,9036,22,198782
2015,F,FZ74B,5965,13,77550
2015,F,FZ76A,7746,4,30984
2015,F,FZ76B,5400,1,5400
2015,F,FZ80A,13064,7,91449
2015,F,FZ81A,9868,5,49341
2015,F,FZ81B,5898,1,5898
2015,F,FZ83A,5397,8,43173
2015,G,GA03B,12393,1,12393
2015,G,GA10F,4292,43,184569
2015,G,GA11Z,20719,1,20719
2015,G,GB04D,577,3,1731
2015,G,GC01A,4160,11,45755
2015,G,GC01B,2289,7,16025
2015,G,GC15C,2925,20,58497
2015,G,GC15D,1915,59,113004
2015,G,GC16A,4893,9,44037
2015,H,HA12B,7731,127,981835
2015,H,HA22C,3732,15,55977
2015,H,HA23B,14461,3,43384
2015,H,HA24Z,7395,2,14791
2015,H,HA29Z,633,14,8860
2015,H,HA33Z,2899,33,95676
2015,H,HA39Z,566,9,5091
2015,H,HA71B,4439,14,62150
2015,H,HA73B,1211,54,65387
2015,H,HA81A,1797,69,123965
2015,H,HA81B,944,47,44380
2015,H,HA83A,2771,14,38799
2015,H,HA83B,967,23,22241
2015,H,HA93Z,1151,46,52953
2015,H,HA95Z,577,14,8084
2015,H,HA97Z,528,36,18993
2015,H,HB11A,9872,5,49360
2015,H,HB11B,6143,2,12286
2015,H,HB14C,2061,28,57712
2015,H,HB15D,3220,8,25760
2015,H,HB22C,4548,1,4548
2015,H,HB23C,1913,10,19126
2015,H,HB24B,3446,32,110270
2015,H,HB32A,4134,4,16536
2015,H,HB54C,1120,1,1120
2015,H,HB55B,2649,8,21194
2015,H,HB62C,2566,2,5133
2015,H,HB73Z,1659,4,6634
2015,H,HB99Z,1843,9,16586
2015,H,HC28C,1849,3,5547
2015,H,HC29Z,811,4,3244
2015,H,HD23A,3039,20,60781
2015,H,HD23B,998,49,48893
2015,H,HD24A,2234,24,53617
2015,H,HD25C,2389,2,4777
2015,H,HD39C,5467,2,10934
2015,H,HR05Z,9905,16,158481
2015,J,JA12B,1220,3,3661
2015,J,JC05A,905,6,5429
2015,J,JC05B,819,12,9828
2015,J,JC06A,1081,2,2161
2015,J,JC27Z,415,2,829
2015,J,JD04A,2343,45,105447
2015,J,JD04B,1220,53,64644
2015,K,KA07Z,4017,6,24102
2015,K,KA08Z,1775,12,21297
2015,K,KB02A,2965,12,35586
2015,K,KB02B,1409,13,18323
2015,K,KC05C,608,9,5471
2015,L,LA04D,4097,273,1118596
2015,L,LA07C,1483,8,11860
2015,L,LA07D,5976,12,71709
2015,L,LA08F,459,7,3214
2015,L,LA09F,1708,22,37581
2015,L,LA09G,1281,50,64059
2015,L,LB05A,4568,2,9137
2015,L,LB05B,2246,4,8984
2015,L,LB06D,4133,24,99194
2015,L,LB16A,2425,61,147918
2015,L,LB18Z,517,15,7755
2015,L,LB40A,874,29,25342
2015,L,LB40B,552,94,51888
2015,L,LB54C,1215,10,12150
2015,L,LB64A,6414,1,6414
2015,L,LB64B,2568,1,2568
2015,L,LB65A,6047,1,6047
2015,L,LB65B,2228,3,6685
2015,L,LB68Z,5165,1,5165
2015,M,MA25Z,607,1,607
2015,M,MB01B,902,14,12625
2015,M,MB02Z,1162,6,6970
2015,M,MB05B,454,1,454
2015,M,MB06Z,734,1,734
2015,P,PA01A,1852,5,9260
2015,P,PA01B,734,24,17617
2015,P,PA02A,1300,13,16900
2015,P,PA04A,705,13,9168
2015,P,PA04B,556,29,16133
2015,P,PA07A,609,3,1827
2015,P,PA11Z,490,271,132827
2015,A,AA22B,1266,42,53185
2015,A,AA24A,3180,34,108122
2015,A,AA25B,1167,20,23340
2015,A,AA31A,687,212,145560
2015,B,BZ01Z,1975,1,1975
2015,B,BZ06A,1223,1,1223
2015,B,BZ07B,949,2,1899
2015,B,BZ23Z,823,2,1646
2015,B,BZ24C,405,35,14187
2015,C,CZ01T,774,2,1549
2015,C,CZ01Y,673,3,2019
2015,C,CZ02Y,1075,2,2151
2015,C,CZ08V,2105,7,14738
2015,C,CZ10U,3865,1,3865
2015,C,CZ13V,3653,28,102290
2015,C,CZ16N,1626,1,1626
2015,C,CZ22X,808,81,65462
2015,C,CZ23W,1525,9,13728
2015,C,CZ24P,2135,3,6405
2015,D,DZ04A,5688,6,34126
2015,D,DZ07A,333,1,333
2015,D,DZ11A,3223,906,2919700
2015,D,DZ12A,2652,40,106071
2015,D,DZ15D,1660,23,38181
2015,D,DZ17A,3539,64,226496
2015,D,DZ19B,943,73,68837
2015,D,DZ19C,488,29,14139
2015,D,DZ24A,4934,58,286181
2015,D,DZ25A,2475,31,76722
2015,D,DZ26A,2013,31,62408
2015,D,DZ27A,3840,3,11521
2015,D,DZ27E,1840,6,11039
2015,E,EA03Z,5095,50,254769
2015,E,EA39Z,4527,4,18108
2015,E,EB03H,3219,289,930218
2015,E,EB07H,1862,138,256908
2015,F,FZ12D,6174,19,117311
2015,F,FZ17B,2989,7,20926
2015,F,FZ17C,2586,1,2586
2015,F,FZ22B,1130,3,3391
2015,F,FZ23A,654,2,1307
2015,F,FZ27A,4455,3,13364
2015,F,FZ31D,4340,67,290792
2015,F,FZ33E,548,3,1644
2015,F,FZ36E,1925,114,219457
2015,F,FZ36F,444,116,51458
2015,F,FZ37G,4720,4,18882
2015,F,FZ37I,2850,23,65546
2015,F,FZ38D,3227,90,290396
2015,F,FZ39E,1676,9,15086
2015,F,FZ39F,432,29,12535
2015,F,FZ40B,613,1,613
2015,F,FZ43A,3630,75,272287
2015,F,FZ45A,3639,75,272920
2015,F,FZ46B,2571,4,10283
2015,F,FZ46C,564,6,3381
2015,F,FZ49C,463,3,1390
2015,F,FZ50Z,716,6,4293
2015,F,FZ55Z,619,7,4336
2015,F,FZ58A,825,1,825
2015,F,FZ59Z,513,11,5642
2015,F,FZ60Z,781,30,23421
2015,F,FZ68C,7590,1,7590
2015,F,FZ68D,4148,1,4148
2015,F,FZ70Z,720,9,6477
2015,F,FZ71A,6333,23,145655
2015,F,FZ73B,7766,2,15531
2015,F,FZ77A,6054,2,12109
2015,F,FZ87B,3398,7,23785
2015,F,FZ87C,3305,1,3305
2015,F,FZ88A,941,4,3764
2015,F,FZ89Z,6231,3,18693
2015,G,GA13A,3829,1,3829
2015,G,GB02B,4394,1,4394
2015,G,GB03B,2318,3,6955
2015,G,GB06A,6204,38,235760
2015,G,GB09A,5323,4,21293
2015,G,GC12A,3065,34,104207
2015,H,HA11A,8697,6,52181
2015,H,HA13A,6485,68,440988
2015,H,HA14A,2742,1,2742
2015,H,HA32Z,5111,20,102221
2015,H,HA53Z,2910,3,8729
2015,H,HA55Z,1342,2,2684
2015,H,HA56B,966,2,1932
2015,H,HA61B,4323,1,4323
2015,H,HA61C,3430,20,68594
2015,H,HA79Z,551,10,5511
2015,H,HA83C,524,36,18864
2015,H,HA91Z,1888,94,177517
2015,H,HA94Z,885,133,117653
2015,H,HB12B,5966,2,11933
2015,H,HB12C,5314,19,100957
2015,H,HB14B,3143,19,59719
2015,H,HB22B,3747,9,33724
2015,H,HB24C,1376,19,26144
2015,H,HB25D,1022,1,1022
2015,H,HB31Z,5974,3,17923
2015,H,HB35B,1399,6,8396
2015,H,HB35C,1382,5,6912
2015,H,HB56B,736,1,736
2015,H,HB56C,721,1,721
2015,H,HB63Z,4716,7,33012
2015,H,HC05B,4764,1,4764
2015,H,HC28B,6551,3,19652
2015,H,HD21A,1488,52,77375
2015,H,HD26A,1623,114,185000
2015,H,HD40A,3783,32,121047
2015,H,HR06B,5660,3,16981
2015,J,JA13Z,725,19,13774
2015,J,JA18B,1509,4,6035
2015,J,JA18C,949,8,7594
2015,J,JB13A,3820,1,3820
2015,J,JB21B,1985,5,9925
2015,J,JC01A,9480,4,37920
2015,J,JC03A,5613,23,129107
2015,J,JC04A,5066,26,131708
2015,J,JD01A,4378,45,197009
2015,J,JD03B,1121,69,77354
2015,J,JD03C,720,39,28083
2015,J,JD05B,632,13,8222
2015,J,JD05C,483,12,5795
2015,J,JD06A,1137,18,20466
2015,K,KB01A,1866,44,82125
2015,K,KB03B,2392,3,7175
2015,K,KC04Z,719,1,719
2015,K,KC05B,1529,87,133043
2015,K,KC05D,2617,14,36638
2015,L,LA07G,1961,41,80413
2015,L,LA08B,2497,5,12486
2015,L,LA09E,3288,23,75625
2015,L,LB01B,2361,1,2361
2015,L,LB09D,1117,6,6701
2015,L,LB13A,5317,5,26585
2015,L,LB19B,769,3,2306
2015,L,LB20A,1448,35,50663
2015,L,LB25A,6705,3,20114
2015,L,LB28B,845,6,5069
2015,L,LB35A,1109,19,21076
2015,L,LB53B,1574,3,4721
2015,L,LB54D,1338,1,1338
2015,L,LB58A,663,6,3977
2015,L,LB60A,9130,13,118684
2015,L,LB61B,4047,1,4047
2015,M,MA03B,2832,2,5663
2015,M,MA10Z,1688,2,3375
2015,M,MA11Z,2873,4,11490
2015,M,MA18C,655,14,9164
2015,M,MA18D,1062,1,1062
2015,M,MA23Z,450,7,3149
2015,M,MA24Z,833,9,7501
2015,M,MB03A,1092,10,10925
2015,P,PA24Z,746,1,746
2015,P,PA29Z,588,220,129281
2015,P,PA32A,649,14,9091
2015,P,PA32B,549,76,41730
2015,P,PA35A,1203,8,9621
2015,P,PA35B,609,41,24971
2015,P,PA38D,2636,2,5272
2015,P,PA52B,1361,11,14971
2015,P,PA63C,728,119,86628
2015,P,PA65C,590,9,5314
2015,P,PA71Z,1781,2,3561
2015,P,PA72Z,2393,1,2393
2015,P,PB02Z,788,334,263172
2015,Q,QZ02A,9263,18,166733
2015,Q,QZ16C,2461,9,22149
2015,Q,QZ19Z,685,1,685
2015,Q,QZ22A,4282,1,4282
2015,R,RC02Z,4096,21,86016
2015,S,SA01F,1978,11,21759
2015,S,SA04D,2377,69,164010
2015,S,SA04F,1024,25,25611
2015,S,SA07D,3314,1,3314
2015,S,SA10E,1260,2,2521
2015,S,SA31Z,4615,38,175378
2015,S,SA32Z,3151,6,18907
2015,V,VA11C,4006,7,28045
2015,V,VA12C,5653,14,79139
2015,V,VA13B,5660,1,5660
2015,W,WA03X,2326,88,204712
2015,W,WA04T,723,17,12288
2015,W,WA06Y,1054,50,52684
2015,W,WA11Y,275,203,55822
2015,W,WA12V,3450,22,75897
2015,W,WA14A,1167,7,8169
2015,W,WA14B,1167,12,14004
2015,W,WA16Y,367,14,5139
2015,W,WA18V,3163,150,474464
2015,W,WA18Y,639,13,8309
2015,W,WA20Y,370,4,1481
2015,W,WD11Z,3579,275,984225
2015,A,AA18A,6037,1,6037
2015,A,AA21A,5667,8,45332
2015,A,AA24B,1589,6,9536
2015,A,AA26A,1773,497,881167
2015,A,AA26B,597,83,49531
2015,A,AA27A,5685,40,227390
2015,A,AA27B,3123,2,6247
2015,A,AA30A,2787,4,11148
2015,A,AA30B,800,2,1601
2015,A,AA33D,1225,2,2451
2015,A,AB05Z,2466,2,4932
2015,A,AB06Z,2128,1,2128
2015,B,BZ02Z,2692,1,2692
2015,B,BZ07A,1256,2,2512
2015,B,BZ12Z,2496,2,4992
2015,B,BZ13Z,2110,1,2110
2015,B,BZ19Z,1017,1,1017
2015,B,BZ21Z,1837,3,5512
2015,C,CZ05T,1032,7,7224
2015,C,CZ05V,943,8,7544
2015,C,CZ05Y,800,26,20809
2015,C,CZ07O,7916,3,23747
2015,C,CZ08T,847,5,4234
2015,C,CZ12U,750,10,7497
2015,C,CZ13U,1421,2,2842
2015,C,CZ21V,666,238,158560
2015,C,CZ21Y,491,34,16683
2015,C,CZ23X,873,59,51492
2015,D,DZ06Z,537,3,1610
2015,D,DZ09C,1536,16,24579
2015,D,DZ10A,5042,8,40336
2015,D,DZ10B,3719,2,7439
2015,D,DZ16C,380,9,3419
2015,D,DZ17B,2215,13,28796
2015,D,DZ21F,2686,3,8059
2015,D,DZ21H,2976,195,580397
2015,D,DZ21J,2178,239,520494
2015,D,DZ22C,654,51,33366
2015,D,DZ23A,2850,20,56991
2015,D,DZ23B,1843,8,14748
2015,D,DZ26B,1036,8,8286
2015,D,DZ29A,2312,3,6937
2015,D,DZ29B,1587,3,4762
2015,E,EA44Z,3192,2,6384
2015,E,EB05Z,911,11,10016
2015,E,EB08H,1501,220,330292
2015,E,EB10Z,3022,332,1003274
2015,F,FZ12I,3472,1,3472
2015,F,FZ13D,955,6,5733
2015,F,FZ18C,2044,21,42930
2015,F,FZ20A,3555,14,49771
2015,F,FZ20B,2426,157,380900
2015,F,FZ24A,3043,1,3043
2015,F,FZ24B,1480,6,8878
2015,F,FZ31E,2287,54,123506
2015,F,FZ31F,402,96,38615
2015,F,FZ37F,433,11,4766
2015,F,FZ37H,2382,10,23822
2015,F,FZ38E,1788,92,164489
2015,F,FZ38F,446,78,34762
2015,F,FZ40A,1872,10,18716
2015,F,FZ44A,3702,3,11106
2015,F,FZ44B,2529,3,7588
2015,F,FZ45B,1678,201,337193
2015,F,FZ47A,3491,110,384000
2015,F,FZ47B,748,359,268412
2015,F,FZ48C,485,4,1940
2015,F,FZ54Z,589,10,5894
2015,F,FZ61Z,792,21,16634
2015,F,FZ67A,6785,20,135708
2015,F,FZ67B,3944,5,19719
2015,F,FZ69A,13320,5,66602
2015,F,FZ73A,12493,8,99946
2015,F,FZ75A,7492,14,104891
2015,F,FZ75B,5232,10,52323
2015,F,FZ77B,4122,1,4122
2015,F,FZ79A,10537,1,10537
2015,G,GA05A,8723,7,61062
2015,G,GA07A,5555,3,16665
2015,G,GA07B,3788,1,3788
2015,G,GB01A,8439,11,92827
2015,G,GB01B,4843,6,29061
2015,G,GC15A,6411,17,108980
2015,G,GC15B,4186,9,37672
2015,G,GC16C,2030,119,241571
2015,H,HA12C,5518,82,452509
2015,H,HA22B,5776,4,23105
2015,H,HA23C,3000,22,66005
2015,H,HA31B,4373,7,30611
2015,H,HA51Z,4225,3,12675
2015,H,HA52Z,3384,1,3384
2015,H,HA54Z,1351,13,17569
2015,H,HA59Z,516,3,1548
2015,H,HA62Z,3152,4,12607
2015,H,HA69Z,519,1,519
2015,H,HA71C,3104,132,409667
2015,H,HA72Z,2408,9,21668
2015,H,HA73C,1236,22,27193
2015,H,HA81C,516,144,74340
2015,H,HA92Z,1921,35,67244
2015,H,HA96Z,1129,6,6773
2015,H,HB11C,7717,7,54016
2015,H,HB13Z,5664,4,22658
2015,H,HB16C,794,1,794
2015,H,HB23B,4378,15,65667
2015,H,HB25F,1659,3,4978
2015,H,HB25J,961,1,961
2015,H,HB33D,2903,5,14515
2015,H,HB34D,1949,7,13645
2015,H,HB34G,1123,1,1123
2015,H,HB54B,1436,1,1436
2015,H,HB55C,1042,6,6254
2015,H,HB61C,5119,1,5119
2015,H,HB62B,3137,1,3137
2015,H,HC26C,1620,1,1620
2015,H,HC27C,930,155,144190
2015,H,HC31C,4684,2,9368
2015,H,HD21C,351,38,13321
2015,H,HD23C,449,16,7176
2015,H,HD24C,460,8,3682
2015,H,HD25A,4842,7,33895
2015,H,HD25B,2348,7,16435
2015,H,HD39A,4427,20,88549
2015,H,HD39B,2706,6,16233
2015,J,JC05C,833,44,36671
2015,J,JC06C,1081,15,16209
2015,J,JC15Z,700,33,23102
2015,J,JC47Z,787,3,2361
2015,J,JD04C,876,35,30657
2015,K,KB02C,555,2,1111
2015,K,KB02D,1929,7,13502
2015,K,KB02E,999,51,50966
2015,K,KB02F,549,32,17577
2015,L,LA04E,2118,125,264804
2015,L,LA04F,1360,45,61189
2015,L,LA04G,432,218,94226
2015,L,LA07E,3538,51,180460
2015,L,LA07F,3774,2,7549
2015,L,LB05C,1460,7,10220
2015,L,LB06F,1831,3,5494
2015,L,LB06G,580,1,580
2015,L,LB16C,631,30,18935
2015,L,LB19A,3856,7,26991
2015,L,LB26Z,6053,1,6053
2015,L,LB37A,569,3,1706
2015,L,LB37B,522,2,1044
2015,L,LB38A,3037,24,72898
2015,L,LB38B,1213,46,55787
2015,L,LB47Z,2741,1,2741
2015,L,LB57A,1438,2,2877
2015,L,LB57B,767,2,1535
2015,M,MA07C,6011,1,6011
2015,A,AA22A,3517,417,1466564
2015,A,AA25A,3357,148,496830
2015,A,AA29A,1104,114,125818
2015,A,AA31B,475,114,54137
2015,B,BZ24A,2134,18,38414
2015,C,CZ01V,1645,9,14803
2015,C,CZ02W,4834,1,4834
2015,C,CZ08Y,699,4,2796
2015,C,CZ10Y,2505,1,2505
2015,C,CZ13Y,942,16,15067
2015,C,CZ15N,3813,2,7625
2015,C,CZ23Y,579,41,23742
2015,D,DZ02A,9069,1,9069
2015,D,DZ09A,3498,53,185379
2015,D,DZ11B,2045,325,664615
2015,D,DZ11C,967,82,79324
