HRG	Year	Activity	Unit_Cost	Total_Cost	HRG_Chapter
AA20A	2015	1	3490	3490	A
AA23A	2015	80	3878	310277	A
AA23B	2015	14	1591	22271	A
AA28A	2015	2	3088	6176	A
AA29B	2015	17	512	8701	A
AB04Z	2015	3	2279	6837	A
AB09Z	2015	1	2164	2164	A
BZ22Z	2015	3	1950	5851	B
CZ02X	2015	1	1672	1672	C
CZ12V	2015	57	1706	97227	C
CZ12Y	2015	14	841	11767	C
CZ22W	2015	22	1538	33828	C
CZ22Y	2015	134	664	88923	C
CZ24O	2015	4	3942	15768	C
CZ34U	2015	1	942	942	C
CZ37Y	2015	1	1050	1050	C
DZ03A	2015	4	6470	25880	D
DZ03B	2015	1	2750	2750	D
DZ09B	2015	51	1531	78077	D
DZ16A	2015	39	3292	128397	D
DZ16B	2015	19	1333	25336	D
DZ21B	2015	3	3250	9750	D
DZ21K	2015	53	1566	83011	D
DZ22A	2015	119	2617	311481	D
DZ22B	2015	140	1240	173658	D
DZ23C	2015	1	527	527	D
DZ27F	2015	1	1588	1588	D
DZ37A	2015	8	676	5410	D
EA07Z	2015	3	12068	36205	E
EA11Z	2015	1	3330	3330	E
EA31Z	2015	102	3555	362585	E
EA35Z	2015	13	3400	44198	E
EA36A	2015	257	3067	788265	E
EA47Z	2015	9	538	4839	E
EA54Z	2015	2	4432	8864	E
EB02Z	2015	4	6270	25082	E
FZ18A	2015	4	7292	29166	F
FZ18B	2015	22	2448	53849	F
FZ20E	2015	62	2430	150633	F
FZ21A	2015	18	1894	34094	F
FZ24C	2015	6	986	5919	F
FZ37J	2015	18	1545	27807	F
FZ41D	2015	4	2930	11722	F
FZ41E	2015	24	1601	38431	F
FZ44C	2015	1	537	537	F
FZ47C	2015	598	803	480341	F
FZ48A	2015	13	3523	45799	F
FZ48B	2015	3	2096	6288	F
FZ49B	2015	6	2724	16344	F
FZ52Z	2015	1	795	795	F
FZ53Z	2015	5	832	4162	F
FZ57Z	2015	5	574	2869	F
FZ63Z	2015	1	706	706	F
FZ65Z	2015	2	624	1247	F
FZ66A	2015	36	7667	276027	F
FZ66B	2015	6	4583	27497	F
FZ74A	2015	22	9036	198782	F
FZ74B	2015	13	5965	77550	F
FZ76A	2015	4	7746	30984	F
FZ76B	2015	1	5400	5400	F
FZ80A	2015	7	13064	91449	F
FZ81A	2015	5	9868	49341	F
FZ81B	2015	1	5898	5898	F
FZ83A	2015	8	5397	43173	F
GA03B	2015	1	12393	12393	G
GA10F	2015	43	4292	184569	G
GA11Z	2015	1	20719	20719	G
GB04D	2015	3	577	1731	G
GC01A	2015	11	4160	45755	G
GC01B	2015	7	2289	16025	G
GC15C	2015	20	2925	58497	G
GC15D	2015	59	1915	113004	G
GC16A	2015	9	4893	44037	G
HA12B	2015	127	7731	981835	H
HA22C	2015	15	3732	55977	H
HA23B	2015	3	14461	43384	H
HA24Z	2015	2	7395	14791	H
HA29Z	2015	14	633	8860	H
HA33Z	2015	33	2899	95676	H
HA39Z	2015	9	566	5091	H
HA71B	2015	14	4439	62150	H
HA73B	2015	54	1211	65387	H
HA81A	2015	69	1797	123965	H
HA81B	2015	47	944	44380	H
HA83A	2015	14	2771	38799	H
HA83B	2015	23	967	22241	H
HA93Z	2015	46	1151	52953	H
HA95Z	2015	14	577	8084	H
HA97Z	2015	36	528	18993	H
HB11A	2015	5	9872	49360	H
HB11B	2015	2	6143	12286	H
HB14C	2015	28	2061	57712	H
HB15D	2015	8	3220	25760	H
HB22C	2015	1	4548	4548	H
HB23C	2015	10	1913	19126	H
HB24B	2015	32	3446	110270	H
HB32A	2015	4	4134	16536	H
HB54C	2015	1	1120	1120	H
HB55B	2015	8	2649	21194	H
HB62C	2015	2	2566	5133	H
HB73Z	2015	4	1659	6634	H
HB99Z	2015	9	1843	16586	H
HC28C	2015	3	1849	5547	H
HC29Z	2015	4	811	3244	H
HD23A	2015	20	3039	60781	H
HD23B	2015	49	998	48893	H
HD24A	2015	24	2234	53617	H
HD25C	2015	2	2389	4777	H
HD39C	2015	2	5467	10934	H
HR05Z	2015	16	9905	158481	H
JA12B	2015	3	1220	3661	J
JC05A	2015	6	905	5429	J
JC05B	2015	12	819	9828	J
JC06A	2015	2	1081	2161	J
JC27Z	2015	2	415	829	J
JD04A	2015	45	2343	105447	J
JD04B	2015	53	1220	64644	J
KA07Z	2015	6	4017	24102	K
KA08Z	2015	12	1775	21297	K
KB02A	2015	12	2965	35586	K
KB02B	2015	13	1409	18323	K
KC05C	2015	9	608	5471	K
LA04D	2015	273	4097	1118596	L
LA07C	2015	8	1483	11860	L
LA07D	2015	12	5976	71709	L
LA08F	2015	7	459	3214	L
LA09F	2015	22	1708	37581	L
LA09G	2015	50	1281	64059	L
LB05A	2015	2	4568	9137	L
LB05B	2015	4	2246	8984	L
LB06D	2015	24	4133	99194	L
LB16A	2015	61	2425	147918	L
LB18Z	2015	15	517	7755	L
LB40A	2015	29	874	25342	L
LB40B	2015	94	552	51888	L
LB54C	2015	10	1215	12150	L
LB64A	2015	1	6414	6414	L
LB64B	2015	1	2568	2568	L
LB65A	2015	1	6047	6047	L
LB65B	2015	3	2228	6685	L
LB68Z	2015	1	5165	5165	L
MA25Z	2015	1	607	607	M
MB01B	2015	14	902	12625	M
MB02Z	2015	6	1162	6970	M
MB05B	2015	1	454	454	M
MB06Z	2015	1	734	734	M
PA01A	2015	5	1852	9260	P
PA01B	2015	24	734	17617	P
PA02A	2015	13	1300	16900	P
PA04A	2015	13	705	9168	P
PA04B	2015	29	556	16133	P
PA07A	2015	3	609	1827	P
PA11Z	2015	271	490	132827	P
AA22B	2015	42	1266	53185	A
AA24A	2015	34	3180	108122	A
AA25B	2015	20	1167	23340	A
AA31A	2015	212	687	145560	A
BZ01Z	2015	1	1975	1975	B
BZ06A	2015	1	1223	1223	B
BZ07B	2015	2	949	1899	B
BZ23Z	2015	2	823	1646	B
BZ24C	2015	35	405	14187	B
CZ01T	2015	2	774	1549	C
CZ01Y	2015	3	673	2019	C
CZ02Y	2015	2	1075	2151	C
CZ08V	2015	7	2105	14738	C
CZ10U	2015	1	3865	3865	C
CZ13V	2015	28	3653	102290	C
CZ16N	2015	1	1626	1626	C
CZ22X	2015	81	808	65462	C
