id,act,cost
Inpatients,,
Inpatients|NT245,,
Inpatients|NT245|DC,,
Inpatients|NT245|DC|A,,
Inpatients|NT245|DC|A|AB,,
Inpatients|NT245|DC|A|AB|AB05,,
Inpatients|NT245|DC|A|AB|AB05|AB05Z,1,1
Inpatients|NT245|DC|A|AB|AB06,,
Inpatients|NT245|DC|A|AB|AB06|AB06Z,1,1
Inpatients|NT245|DC|H,,
Inpatients|NT245|DC|H|HB,,
Inpatients|NT245|DC|H|HB|HB12,,
Inpatients|NT245|DC|H|HB|HB12|HB12C,1,5
Inpatients|NT245|DC|H|HB|HB19,,
Inpatients|NT245|DC|H|HB|HB19|HB19Z,2,1
Inpatients|NT245|DC|H|HB|HB21,,
Inpatients|NT245|DC|H|HB|HB21|HB21C,2,11
Inpatients|NT245|DC|H|HB|HB22,,
Inpatients|NT245|DC|H|HB|HB22|HB22B,2,7
Inpatients|NT245|DC|H|HB|HB22|HB22C,129,309
Inpatients|NT245|DC|H|HB|HB23,,
Inpatients|NT245|DC|H|HB|HB23|HB23B,1,2
Inpatients|NT245|DC|H|HB|HB23|HB23C,33,55
Inpatients|NT245|DC|H|HB|HB25,,
Inpatients|NT245|DC|H|HB|HB25|HB25F,1,1
Inpatients|NT245|DC|H|HB|HB29,,
Inpatients|NT245|DC|H|HB|HB29|HB29Z,1,1
Inpatients|NT245|DC|H|HB|HB31,,
Inpatients|NT245|DC|H|HB|HB31|HB31Z,9,28
Inpatients|NT245|DC|H|HB|HB32,,
Inpatients|NT245|DC|H|HB|HB32|HB32A,20,59
Inpatients|NT245|DC|H|HB|HB33,,
Inpatients|NT245|DC|H|HB|HB33|HB33E,23,39
Inpatients|NT245|DC|H|HB|HB34,,
Inpatients|NT245|DC|H|HB|HB34|HB34D,1,2
Inpatients|NT245|DC|H|HB|HB34|HB34E,21,25
Inpatients|NT245|DC|H|HB|HB35,,
Inpatients|NT245|DC|H|HB|HB35|HB35C,3,2
Inpatients|NT245|DC|H|HB|HB39,,
Inpatients|NT245|DC|H|HB|HB39|HB39Z,23,16
Inpatients|NT245|DC|H|HB|HB52,,
Inpatients|NT245|DC|H|HB|HB52|HB52C,3,10
Inpatients|NT245|DC|H|HB|HB53,,
Inpatients|NT245|DC|H|HB|HB53|HB53Z,6,14
Inpatients|NT245|DC|H|HB|HB54,,
Inpatients|NT245|DC|H|HB|HB54|HB54C,3,3
Inpatients|NT245|DC|H|HB|HB55,,
Inpatients|NT245|DC|H|HB|HB55|HB55B,1,1
Inpatients|NT245|DC|H|HB|HB55|HB55C,7,6
Inpatients|NT245|DC|H|HB|HB61,,
Inpatients|NT245|DC|H|HB|HB61|HB61B,2,11
Inpatients|NT245|DC|H|HB|HB61|HB61C,36,132
Inpatients|NT245|DC|H|HB|HB62,,
Inpatients|NT245|DC|H|HB|HB62|HB62B,2,6
Inpatients|NT245|DC|H|HB|HB62|HB62C,49,119
Inpatients|NT245|DC|H|HB|HB63,,
Inpatients|NT245|DC|H|HB|HB63|HB63Z,3,3
Inpatients|NT245|DC|H|HB|HB72,,
Inpatients|NT245|DC|H|HB|HB72|HB72Z,1,2
Inpatients|NT245|DC|H|HB|HB73,,
Inpatients|NT245|DC|H|HB|HB73|HB73Z,2,2
Inpatients|NT245|DC|H|HR,,
Inpatients|NT245|DC|H|HR|HR06,,
Inpatients|NT245|DC|H|HR|HR06|HR06A,3,21
Inpatients|NT245|DC|J,,
Inpatients|NT245|DC|J|JC,,
Inpatients|NT245|DC|J|JC|JC14,,
Inpatients|NT245|DC|J|JC|JC14|JC14Z,1,1
Inpatients|NT245|DC|J|JC|JC15,,
Inpatients|NT245|DC|J|JC|JC15|JC15Z,2,1
Inpatients|NT245|DC|L,,
Inpatients|NT245|DC|L|LB,,
Inpatients|NT245|DC|L|LB|LB15,,
Inpatients|NT245|DC|L|LB|LB15|LB15E,1,1
Inpatients|NT245|DC|W,,
Inpatients|NT245|DC|W|WA,,
Inpatients|NT245|DC|W|WA|WA12,,
Inpatients|NT245|DC|W|WA|WA12|WA12X,1,2
Inpatients|NT245|EL,,
Inpatients|NT245|EL|H,,
Inpatients|NT245|EL|H|HA,,
Inpatients|NT245|EL|H|HA|HA31,,
Inpatients|NT245|EL|H|HA|HA31|HA31C,1,3
Inpatients|NT245|EL|H|HB,,
Inpatients|NT245|EL|H|HB|HB11,,
Inpatients|NT245|EL|H|HB|HB11|HB11C,11,64
Inpatients|NT245|EL|H|HB|HB12,,
Inpatients|NT245|EL|H|HB|HB12|HB12B,11,66
Inpatients|NT245|EL|H|HB|HB12|HB12C,122,637
Inpatients|NT245|EL|H|HB|HB21,,
Inpatients|NT245|EL|H|HB|HB21|HB21B,14,89
Inpatients|NT245|EL|H|HB|HB21|HB21C,89,503
Inpatients|NT245|EL|H|HB|HB22,,
Inpatients|NT245|EL|H|HB|HB22|HB22B,1,3
Inpatients|NT245|EL|H|HB|HB22|HB22C,10,26
Inpatients|NT245|EL|H|HB|HB23,,
Inpatients|NT245|EL|H|HB|HB23|HB23B,1,2
Inpatients|NT245|EL|H|HB|HB23|HB23C,3,5
Inpatients|NT245|EL|H|HB|HB31,,
Inpatients|NT245|EL|H|HB|HB31|HB31Z,9,45
Inpatients|NT245|EL|H|HB|HB32,,
Inpatients|NT245|EL|H|HB|HB32|HB32A,16,47
Inpatients|NT245|EL|H|HB|HB33,,
Inpatients|NT245|EL|H|HB|HB33|HB33D,1,3
Inpatients|NT245|EL|H|HB|HB33|HB33E,9,15
Inpatients|NT245|EL|H|HB|HB34,,
Inpatients|NT245|EL|H|HB|HB34|HB34E,3,3
Inpatients|NT245|EL|H|HB|HB61,,
Inpatients|NT245|EL|H|HB|HB61|HB61C,6,31
Inpatients|NT245|EL|H|HB|HB62,,
Inpatients|NT245|EL|H|HB|HB62|HB62C,10,22
Inpatients|NT245|EL|H|HR,,
Inpatients|NT245|EL|H|HR|HR04,,
Inpatients|NT245|EL|H|HR|HR04|HR04C,1,10
Inpatients|NT245|EL|H|HR|HR05,,
Inpatients|NT245|EL|H|HR|HR05|HR05Z,82,727
Inpatients|NT245|EL|H|HR|HR06,,
