id,act,cost
RCB,,
RCB|DC,,
RCB|DC|A,,
RCB|DC|A|AA,,
RCB|DC|A|AA|AA15,,
RCB|DC|A|AA|AA15|AA15A,1,5
RCB|DC|A|AA|AA19,,
RCB|DC|A|AA|AA19|AA19A,2,4
RCB|DC|A|AA|AA20,,
RCB|DC|A|AA|AA20|AA20A,4,10
RCB|DC|A|AA|AA20|AA20B,20,37
RCB|DC|A|AA|AA21,,
RCB|DC|A|AA|AA21|AA21A,66,100
RCB|DC|A|AA|AA21|AA21B,31,26
RCB|DC|A|AA|AA24,,
RCB|DC|A|AA|AA24|AA24A,1,1
RCB|DC|A|AA|AA25,,
RCB|DC|A|AA|AA25|AA25A,13,17
RCB|DC|A|AA|AA25|AA25B,33,16
RCB|DC|A|AA|AA26,,
RCB|DC|A|AA|AA26|AA26A,123,91
RCB|DC|A|AA|AA26|AA26B,208,122
RCB|DC|A|AA|AA30,,
RCB|DC|A|AA|AA30|AA30A,1,1
RCB|DC|A|AA|AA30|AA30B,85,29
RCB|DC|A|AA|AA31,,
RCB|DC|A|AA|AA31|AA31A,32,20
RCB|DC|A|AA|AA31|AA31B,76,30
RCB|DC|A|AA|AA33,,
RCB|DC|A|AA|AA33|AA33D,3,2
RCB|DC|A|AB,,
RCB|DC|A|AB|AB02,,
RCB|DC|A|AB|AB02|AB02Z,3,2
RCB|DC|A|AB|AB03,,
RCB|DC|A|AB|AB03|AB03Z,38,19
RCB|DC|A|AB|AB04,,
RCB|DC|A|AB|AB04|AB04Z,138,81
RCB|DC|A|AB|AB05,,
RCB|DC|A|AB|AB05|AB05Z,180,84
RCB|DC|A|AB|AB06,,
RCB|DC|A|AB|AB06|AB06Z,436,81
RCB|DC|A|AB|AB08,,
RCB|DC|A|AB|AB08|AB08Z,214,137
RCB|DC|A|AB|AB09,,
RCB|DC|A|AB|AB09|AB09Z,18,10
RCB|DC|A|AB|AB10,,
RCB|DC|A|AB|AB10|AB10Z,1,1
RCB|DC|B,,
RCB|DC|B|BZ,,
RCB|DC|B|BZ|BZ01,,
RCB|DC|B|BZ|BZ01|BZ01Z,53,53
RCB|DC|B|BZ|BZ02,,
RCB|DC|B|BZ|BZ02|BZ02Z,2175,1615
RCB|DC|B|BZ|BZ03,,
RCB|DC|B|BZ|BZ03|BZ03Z,18,17
RCB|DC|B|BZ|BZ05,,
RCB|DC|B|BZ|BZ05|BZ05Z,12,15
RCB|DC|B|BZ|BZ06,,
RCB|DC|B|BZ|BZ06|BZ06A,69,60
RCB|DC|B|BZ|BZ07,,
RCB|DC|B|BZ|BZ07|BZ07A,142,86
RCB|DC|B|BZ|BZ07|BZ07B,7,5
RCB|DC|B|BZ|BZ08,,
RCB|DC|B|BZ|BZ08|BZ08A,2,4
RCB|DC|B|BZ|BZ09,,
RCB|DC|B|BZ|BZ09|BZ09A,12,17
RCB|DC|B|BZ|BZ09|BZ09B,1,1
RCB|DC|B|BZ|BZ10,,
RCB|DC|B|BZ|BZ10|BZ10A,25,15
RCB|DC|B|BZ|BZ10|BZ10B,2,2
RCB|DC|B|BZ|BZ12,,
RCB|DC|B|BZ|BZ12|BZ12Z,4,6
RCB|DC|B|BZ|BZ13,,
RCB|DC|B|BZ|BZ13|BZ13Z,16,14
RCB|DC|B|BZ|BZ14,,
RCB|DC|B|BZ|BZ14|BZ14A,3,4
RCB|DC|B|BZ|BZ15,,
RCB|DC|B|BZ|BZ15|BZ15A,10,11
RCB|DC|B|BZ|BZ15|BZ15B,16,18
RCB|DC|B|BZ|BZ16,,
RCB|DC|B|BZ|BZ16|BZ16A,6,6
RCB|DC|B|BZ|BZ16|BZ16B,2,2
RCB|DC|B|BZ|BZ17,,
RCB|DC|B|BZ|BZ17|BZ17Z,13,18
RCB|DC|B|BZ|BZ18,,
RCB|DC|B|BZ|BZ18|BZ18Z,84,82
RCB|DC|B|BZ|BZ19,,
RCB|DC|B|BZ|BZ19|BZ19Z,11,5
RCB|DC|B|BZ|BZ20,,
RCB|DC|B|BZ|BZ20|BZ20Z,20,36
RCB|DC|B|BZ|BZ21,,
RCB|DC|B|BZ|BZ21|BZ21Z,135,193
RCB|DC|B|BZ|BZ22,,
RCB|DC|B|BZ|BZ22|BZ22Z,40,47
RCB|DC|B|BZ|BZ23,,
RCB|DC|B|BZ|BZ23|BZ23Z,39,14
RCB|DC|B|BZ|BZ24,,
RCB|DC|B|BZ|BZ24|BZ24C,27,8
RCB|DC|C,,
RCB|DC|C|CZ,,
RCB|DC|C|CZ|CZ01,,
RCB|DC|C|CZ|CZ01|CZ01V,9,6
RCB|DC|C|CZ|CZ01|CZ01Y,5,1
RCB|DC|C|CZ|CZ02,,
RCB|DC|C|CZ|CZ02|CZ02T,1,1
RCB|DC|C|CZ|CZ02|CZ02X,33,33
RCB|DC|C|CZ|CZ02|CZ02Y,31,26
RCB|DC|C|CZ|CZ03,,
RCB|DC|C|CZ|CZ03|CZ03U,1,3
RCB|DC|C|CZ|CZ03|CZ03V,23,58
RCB|DC|C|CZ|CZ03|CZ03Y,18,35
RCB|DC|C|CZ|CZ05,,
RCB|DC|C|CZ|CZ05|CZ05S,4,5
RCB|DC|C|CZ|CZ05|CZ05T,78,86
RCB|DC|C|CZ|CZ05|CZ05V,6,7
RCB|DC|C|CZ|CZ05|CZ05Y,65,69
RCB|DC|C|CZ|CZ08,,
RCB|DC|C|CZ|CZ08|CZ08T,158,113
RCB|DC|C|CZ|CZ08|CZ08V,29,20
RCB|DC|C|CZ|CZ08|CZ08Y,43,29
RCB|DC|C|CZ|CZ09,,
RCB|DC|C|CZ|CZ09|CZ09U,3,4
RCB|DC|C|CZ|CZ09|CZ09V,5,5
RCB|DC|C|CZ|CZ09|CZ09Y,6,6
RCB|DC|C|CZ|CZ10,,
RCB|DC|C|CZ|CZ10|CZ10U,14,27
RCB|DC|C|CZ|CZ10|CZ10V,8,16
RCB|DC|C|CZ|CZ10|CZ10Y,16,32
RCB|DC|C|CZ|CZ12,,
RCB|DC|C|CZ|CZ12|CZ12U,16,11
RCB|DC|C|CZ|CZ12|CZ12V,36,25
RCB|DC|C|CZ|CZ12|CZ12Y,45,27
RCB|DC|C|CZ|CZ13,,
RCB|DC|C|CZ|CZ13|CZ13U,5,6
RCB|DC|C|CZ|CZ13|CZ13V,24,29
RCB|DC|C|CZ|CZ13|CZ13Y,88,102
RCB|DC|C|CZ|CZ14,,
RCB|DC|C|CZ|CZ14|CZ14U,1,2
RCB|DC|C|CZ|CZ14|CZ14V,15,23
RCB|DC|C|CZ|CZ14|CZ14Y,23,33
RCB|DC|C|CZ|CZ15,,
RCB|DC|C|CZ|CZ15|CZ15N,10,17
RCB|DC|C|CZ|CZ15|CZ15Q,8,12
RCB|DC|C|CZ|CZ16,,
RCB|DC|C|CZ|CZ16|CZ16Q,4,5
RCB|DC|C|CZ|CZ17,,
RCB|DC|C|CZ|CZ17|CZ17U,3,4
RCB|DC|C|CZ|CZ17|CZ17V,7,15
RCB|DC|C|CZ|CZ17|CZ17Y,12,17
RCB|DC|C|CZ|CZ21,,
RCB|DC|C|CZ|CZ21|CZ21V,2,2
RCB|DC|C|CZ|CZ21|CZ21Y,4,2
RCB|DC|C|CZ|CZ22,,
RCB|DC|C|CZ|CZ22|CZ22Y,1,1
RCB|DC|C|CZ|CZ23,,
RCB|DC|C|CZ|CZ23|CZ23Y,3,1
RCB|DC|C|CZ|CZ27,,
RCB|DC|C|CZ|CZ27|CZ27Z,12,29
RCB|DC|C|CZ|CZ30,,
RCB|DC|C|CZ|CZ30|CZ30U,11,1
RCB|DC|C|CZ|CZ30|CZ30Y,3,1
RCB|DC|C|CZ|CZ31,,
RCB|DC|C|CZ|CZ31|CZ31Y,2,1
RCB|DC|C|CZ|CZ32,,
RCB|DC|C|CZ|CZ32|CZ32U,3,1
RCB|DC|C|CZ|CZ32|CZ32Y,1,1
RCB|DC|C|CZ|CZ34,,
RCB|DC|C|CZ|CZ34|CZ34U,11,6
RCB|DC|C|CZ|CZ34|CZ34Y,15,2
RCB|DC|C|CZ|CZ36,,
RCB|DC|C|CZ|CZ36|CZ36U,8,5
RCB|DC|C|CZ|CZ36|CZ36Y,32,17
RCB|DC|C|CZ|CZ37,,
RCB|DC|C|CZ|CZ37|CZ37U,160,73
RCB|DC|C|CZ|CZ37|CZ37Y,91,41
RCB|DC|C|CZ|CZ39,,
RCB|DC|C|CZ|CZ39|CZ39Y,5,4
RCB|DC|C|CZ|CZ40,,
RCB|DC|C|CZ|CZ40|CZ40U,21,17
RCB|DC|C|CZ|CZ40|CZ40Y,65,35
RCB|DC|C|CZ|CZ41,,
RCB|DC|C|CZ|CZ41|CZ41U,10,9
RCB|DC|C|CZ|CZ41|CZ41Y,254,163
RCB|DC|C|CZ|CZ42,,
RCB|DC|C|CZ|CZ42|CZ42U,198,7
RCB|DC|C|CZ|CZ42|CZ42Y,31,15
RCB|DC|D,,
RCB|DC|D|DZ,,
RCB|DC|D|DZ|DZ03,,
RCB|DC|D|DZ|DZ03|DZ03A,3,8
RCB|DC|D|DZ|DZ03|DZ03B,1,2
RCB|DC|D|DZ|DZ04,,
RCB|DC|D|DZ|DZ04|DZ04A,1,2
