id,Trust,POD,detail_01,detail_02,detail_03,detail_04,act,value
Inpatients,NT245,DC,A,AB,AB05,AB05Z,1,1
Inpatients,NT245,DC,A,AB,AB06,AB06Z,1,1
Inpatients,NT245,DC,H,HB,HB12,HB12C,1,5
Inpatients,NT245,DC,H,HB,HB19,HB19Z,2,1
Inpatients,NT245,DC,H,HB,HB21,HB21C,2,11
Inpatients,NT245,DC,H,HB,HB22,HB22B,2,7
Inpatients,NT245,DC,H,HB,HB22,HB22C,129,309
Inpatients,NT245,DC,H,HB,HB23,HB23B,1,2
Inpatients,NT245,DC,H,HB,HB23,HB23C,33,55
Inpatients,NT245,DC,H,HB,HB25,HB25F,1,1
Inpatients,NT245,DC,H,HB,HB29,HB29Z,1,1
Inpatients,NT245,DC,H,HB,HB31,HB31Z,9,28
Inpatients,NT245,DC,H,HB,HB32,HB32A,20,59
Inpatients,NT245,DC,H,HB,HB33,HB33E,23,39
Inpatients,NT245,DC,H,HB,HB34,HB34D,1,2
Inpatients,NT245,DC,H,HB,HB34,HB34E,21,25
Inpatients,NT245,DC,H,HB,HB35,HB35C,3,2
Inpatients,NT245,DC,H,HB,HB39,HB39Z,23,16
Inpatients,NT245,DC,H,HB,HB52,HB52C,3,10
Inpatients,NT245,DC,H,HB,HB53,HB53Z,6,14
Inpatients,NT245,DC,H,HB,HB54,HB54C,3,3
Inpatients,NT245,DC,H,HB,HB55,HB55B,1,1
Inpatients,NT245,DC,H,HB,HB55,HB55C,7,6
Inpatients,NT245,DC,H,HB,HB61,HB61B,2,11
Inpatients,NT245,DC,H,HB,HB61,HB61C,36,132
Inpatients,NT245,DC,H,HB,HB62,HB62B,2,6
Inpatients,NT245,DC,H,HB,HB62,HB62C,49,119
Inpatients,NT245,DC,H,HB,HB63,HB63Z,3,3
Inpatients,NT245,DC,H,HB,HB72,HB72Z,1,2
Inpatients,NT245,DC,H,HB,HB73,HB73Z,2,2
Inpatients,NT245,DC,H,HR,HR06,HR06A,3,21
Inpatients,NT245,DC,J,JC,JC14,JC14Z,1,1
Inpatients,NT245,DC,J,JC,JC15,JC15Z,2,1
Inpatients,NT245,DC,L,LB,LB15,LB15E,1,1
Inpatients,NT245,DC,W,WA,WA12,WA12X,1,2
Inpatients,NT245,EL,H,HA,HA31,HA31C,1,3
Inpatients,NT245,EL,H,HB,HB11,HB11C,11,64
Inpatients,NT245,EL,H,HB,HB12,HB12B,11,66
