Period,Practice_Code,Ref_Source,TF_Code,Firsts,Referrals
01/04/2013 00:00,B81036,C2C,100,3,4
01/04/2013 00:00,B81036,C2C,101,3,2
01/04/2013 00:00,B81036,C2C,104,2,0
01/04/2013 00:00,B81036,C2C,110,6,1
01/04/2013 00:00,B81036,C2C,120,3,2
01/04/2013 00:00,B81036,C2C,130,4,5
01/04/2013 00:00,B81036,C2C,160,1,0
01/04/2013 00:00,B81036,C2C,170,2,1
01/04/2013 00:00,B81036,C2C,190,1,0
01/04/2013 00:00,B81036,C2C,191,1,0
01/04/2013 00:00,B81036,C2C,258,1,0
01/04/2013 00:00,B81036,C2C,301,2,3
01/04/2013 00:00,B81036,C2C,302,0,1
01/04/2013 00:00,B81036,C2C,303,1,1
01/04/2013 00:00,B81036,C2C,320,25,4
01/04/2013 00:00,B81036,C2C,329,1,0
01/04/2013 00:00,B81036,C2C,330,1,1
01/04/2013 00:00,B81036,C2C,340,3,2
01/04/2013 00:00,B81036,C2C,341,2,0
01/04/2013 00:00,B81036,C2C,361,1,0
01/04/2013 00:00,B81036,C2C,370,0,1
01/04/2013 00:00,B81036,C2C,400,0,2
01/04/2013 00:00,B81036,C2C,401,0,3
01/04/2013 00:00,B81036,C2C,410,1,0
01/04/2013 00:00,B81036,C2C,420,3,4
01/04/2013 00:00,B81036,C2C,430,3,1
01/04/2013 00:00,B81036,C2C,502,4,3
01/04/2013 00:00,B81036,GP,100,11,30
01/04/2013 00:00,B81036,GP,101,9,12
01/04/2013 00:00,B81036,GP,103,6,0
01/04/2013 00:00,B81036,GP,104,4,0
01/04/2013 00:00,B81036,GP,107,2,0
01/04/2013 00:00,B81036,GP,110,10,11
01/04/2013 00:00,B81036,GP,120,16,22
01/04/2013 00:00,B81036,GP,130,21,24
01/04/2013 00:00,B81036,GP,160,0,1
01/04/2013 00:00,B81036,GP,190,0,2
01/04/2013 00:00,B81036,GP,191,2,0
01/04/2013 00:00,B81036,GP,216,1,0
01/04/2013 00:00,B81036,GP,300,4,4
01/04/2013 00:00,B81036,GP,301,4,14
01/04/2013 00:00,B81036,GP,302,0,2
01/04/2013 00:00,B81036,GP,307,1,0
01/04/2013 00:00,B81036,GP,320,3,10
01/04/2013 00:00,B81036,GP,329,3,0
01/04/2013 00:00,B81036,GP,330,6,17
01/04/2013 00:00,B81036,GP,340,1,6
01/04/2013 00:00,B81036,GP,341,1,0
01/04/2013 00:00,B81036,GP,361,1,0
01/04/2013 00:00,B81036,GP,400,0,9
01/04/2013 00:00,B81036,GP,410,4,7
01/04/2013 00:00,B81036,GP,420,3,5
01/04/2013 00:00,B81036,GP,430,2,6
01/04/2013 00:00,B81036,GP,502,15,17
01/04/2013 00:00,B81036,GP,510,0,1
01/04/2013 00:00,B81036,Other,100,0,1
01/04/2013 00:00,B81036,Other,110,18,34
01/04/2013 00:00,B81036,Other,120,3,5
01/04/2013 00:00,B81036,Other,130,17,16
01/04/2013 00:00,B81036,Other,170,0,1
01/04/2013 00:00,B81036,Other,180,0,3
01/04/2013 00:00,B81036,Other,216,1,0
01/04/2013 00:00,B81036,Other,300,0,1
01/04/2013 00:00,B81036,Other,301,0,3
01/04/2013 00:00,B81036,Other,302,0,2
01/04/2013 00:00,B81036,Other,307,1,0
01/04/2013 00:00,B81036,Other,315,0,1
01/04/2013 00:00,B81036,Other,320,7,22
01/04/2013 00:00,B81036,Other,329,2,0
01/04/2013 00:00,B81036,Other,340,3,4
01/04/2013 00:00,B81036,Other,361,0,2
01/04/2013 00:00,B81036,Other,370,0,1
01/04/2013 00:00,B81036,Other,401,0,1
01/04/2013 00:00,B81036,Other,410,0,1
01/04/2013 00:00,B81036,Other,420,0,1
01/04/2013 00:00,B81036,Other,430,1,9
01/04/2013 00:00,B81036,Other,501,0,28
01/04/2013 00:00,B81036,Other,502,2,3
01/04/2013 00:00,B82002,C2C,100,2,2
01/04/2013 00:00,B82002,C2C,101,0,1
01/04/2013 00:00,B82002,C2C,110,2,3
01/04/2013 00:00,B82002,C2C,120,3,1
01/04/2013 00:00,B82002,C2C,130,1,1
01/04/2013 00:00,B82002,C2C,170,0,1
01/04/2013 00:00,B82002,C2C,190,0,1
01/04/2013 00:00,B82002,C2C,191,1,0
01/04/2013 00:00,B82002,C2C,258,1,0
01/04/2013 00:00,B82002,C2C,300,1,0
01/04/2013 00:00,B82002,C2C,302,0,1
01/04/2013 00:00,B82002,C2C,303,1,1
01/04/2013 00:00,B82002,C2C,320,15,0
01/04/2013 00:00,B82002,C2C,329,1,0
01/04/2013 00:00,B82002,C2C,330,1,1
01/04/2013 00:00,B82002,C2C,340,2,0
01/04/2013 00:00,B82002,C2C,370,0,2
01/04/2013 00:00,B82002,C2C,400,0,1
01/04/2013 00:00,B82002,C2C,420,2,2
01/04/2013 00:00,B82002,C2C,502,1,1
01/04/2013 00:00,B82002,C2C,800,0,1
01/04/2013 00:00,B82002,GP,100,11,16
01/04/2013 00:00,B82002,GP,101,2,10
01/04/2013 00:00,B82002,GP,104,1,0
01/04/2013 00:00,B82002,GP,110,2,1
01/04/2013 00:00,B82002,GP,120,19,23
01/04/2013 00:00,B82002,GP,130,9,8
01/04/2013 00:00,B82002,GP,190,0,1
01/04/2013 00:00,B82002,GP,300,0,4
01/04/2013 00:00,B82002,GP,301,4,8
01/04/2013 00:00,B82002,GP,302,0,1
01/04/2013 00:00,B82002,GP,303,2,3
01/04/2013 00:00,B82002,GP,320,4,7
01/04/2013 00:00,B82002,GP,329,1,0
01/04/2013 00:00,B82002,GP,330,7,16
01/04/2013 00:00,B82002,GP,340,0,3
01/04/2013 00:00,B82002,GP,341,1,0
01/04/2013 00:00,B82002,GP,361,0,1
01/04/2013 00:00,B82002,GP,400,0,7
01/04/2013 00:00,B82002,GP,410,0,5
01/04/2013 00:00,B82002,GP,420,5,6
01/04/2013 00:00,B82002,GP,430,0,1
01/04/2013 00:00,B82002,GP,502,8,7
01/04/2013 00:00,B82002,Other,100,0,2
01/04/2013 00:00,B82002,Other,101,0,2
01/04/2013 00:00,B82002,Other,110,9,15
01/04/2013 00:00,B82002,Other,120,0,1
01/04/2013 00:00,B82002,Other,130,7,7
01/04/2013 00:00,B82002,Other,180,0,1
01/04/2013 00:00,B82002,Other,301,1,1
01/04/2013 00:00,B82002,Other,320,5,15
01/04/2013 00:00,B82002,Other,361,1,0
01/04/2013 00:00,B82002,Other,370,0,1
01/04/2013 00:00,B82002,Other,401,0,2
01/04/2013 00:00,B82002,Other,410,0,2
01/04/2013 00:00,B82002,Other,420,0,1
01/04/2013 00:00,B82002,Other,430,0,2
01/04/2013 00:00,B82002,Other,501,0,10
01/04/2013 00:00,B82003,C2C,110,6,2
01/04/2013 00:00,B82003,C2C,120,1,0
01/04/2013 00:00,B82003,C2C,130,1,1
01/04/2013 00:00,B82003,C2C,301,1,0
01/04/2013 00:00,B82003,C2C,320,7,2
01/04/2013 00:00,B82003,C2C,329,1,0
01/04/2013 00:00,B82003,C2C,340,1,0
01/04/2013 00:00,B82003,C2C,361,1,1
01/04/2013 00:00,B82003,C2C,370,0,1
01/04/2013 00:00,B82003,C2C,400,0,3
01/04/2013 00:00,B82003,C2C,420,2,3
01/04/2013 00:00,B82003,C2C,430,1,3
01/04/2013 00:00,B82003,C2C,502,1,0
01/04/2013 00:00,B82003,GP,100,7,11
01/04/2013 00:00,B82003,GP,101,0,4
01/04/2013 00:00,B82003,GP,103,1,0
01/04/2013 00:00,B82003,GP,104,1,0
01/04/2013 00:00,B82003,GP,107,3,0
01/04/2013 00:00,B82003,GP,110,2,0
01/04/2013 00:00,B82003,GP,120,9,16
01/04/2013 00:00,B82003,GP,130,4,9
01/04/2013 00:00,B82003,GP,190,0,1
01/04/2013 00:00,B82003,GP,300,0,1
01/04/2013 00:00,B82003,GP,301,4,6
01/04/2013 00:00,B82003,GP,302,0,3
01/04/2013 00:00,B82003,GP,303,3,2
01/04/2013 00:00,B82003,GP,320,5,1
01/04/2013 00:00,B82003,GP,329,1,0
01/04/2013 00:00,B82003,GP,330,4,5
01/04/2013 00:00,B82003,GP,340,1,0
01/04/2013 00:00,B82003,GP,361,1,0
01/04/2013 00:00,B82003,GP,400,0,1
01/04/2013 00:00,B82003,GP,410,2,0
01/04/2013 00:00,B82003,GP,420,6,1
01/04/2013 00:00,B82003,GP,430,0,2
01/04/2013 00:00,B82003,GP,502,8,9
01/04/2013 00:00,B82003,GP,822,0,1
01/04/2013 00:00,B82003,Other,104,1,0
01/04/2013 00:00,B82003,Other,110,8,13
01/04/2013 00:00,B82003,Other,120,2,3
01/04/2013 00:00,B82003,Other,130,6,7
01/04/2013 00:00,B82003,Other,170,0,1
01/04/2013 00:00,B82003,Other,180,0,1
01/04/2013 00:00,B82003,Other,190,0,1
01/04/2013 00:00,B82003,Other,301,0,2
01/04/2013 00:00,B82003,Other,320,4,6
01/04/2013 00:00,B82003,Other,330,0,1
01/04/2013 00:00,B82003,Other,340,0,1
01/04/2013 00:00,B82003,Other,370,0,1
01/04/2013 00:00,B82003,Other,410,0,2
01/04/2013 00:00,B82003,Other,420,0,1
01/04/2013 00:00,B82003,Other,430,1,2
01/04/2013 00:00,B82003,Other,501,0,16
01/04/2013 00:00,B82003,Other,502,2,2
01/04/2013 00:00,B82005,C2C,100,12,19
01/04/2013 00:00,B82005,C2C,101,9,5
01/04/2013 00:00,B82005,C2C,104,1,0
01/04/2013 00:00,B82005,C2C,106,1,0
01/04/2013 00:00,B82005,C2C,107,2,0
01/04/2013 00:00,B82005,C2C,110,37,15
01/04/2013 00:00,B82005,C2C,120,11,11
01/04/2013 00:00,B82005,C2C,130,18,7
01/04/2013 00:00,B82005,C2C,150,0,3
01/04/2013 00:00,B82005,C2C,160,0,1
01/04/2013 00:00,B82005,C2C,190,0,6
01/04/2013 00:00,B82005,C2C,191,3,0
01/04/2013 00:00,B82005,C2C,300,1,1
01/04/2013 00:00,B82005,C2C,301,4,8
