Type,Day,Hour,Count
AE_Attd,2,9,610
AE_Attd,1,18,667
AE_Attd,6,20,504
AE_Attd,4,19,673
AE_Attd,7,5,167
AE_Attd,3,23,286
AE_Attd,2,1,183
AE_Attd,6,22,378
AE_Attd,2,15,539
AE_Attd,7,2,235
AE_Attd,6,19,507
AE_Attd,5,21,420
AE_Attd,4,9,610
AE_Attd,4,14,578
AE_Attd,5,3,147
AE_Attd,1,12,727
AE_Attd,1,23,277
AE_Attd,6,17,604
AE_Attd,3,18,700
AE_Attd,4,18,694
AE_Attd,6,0,281
AE_Attd,3,14,571
AE_Attd,7,3,219
AE_Attd,3,20,563
AE_Attd,1,14,639
AE_Attd,4,15,556
AE_Attd,5,20,512
AE_Attd,6,5,171
AE_Attd,5,16,566
AE_Attd,7,6,167
AE_Attd,7,17,628
AE_Attd,6,2,204
AE_Attd,1,1,203
AE_Attd,2,18,677
AE_Attd,4,21,480
AE_Attd,2,23,294
AE_Attd,7,22,382
AE_Attd,6,21,428
AE_Attd,7,16,653
AE_Attd,5,19,572
AE_Attd,3,9,598
AE_Attd,5,17,599
AE_Attd,5,9,568
AE_Attd,7,0,278
AE_Attd,2,14,561
AE_Attd,2,12,613
AE_Attd,5,15,556
AE_Attd,6,16,629
AE_Attd,6,3,211
AE_Attd,4,16,582
AE_Attd,3,19,620
AE_Attd,6,6,155
AE_Attd,3,21,442
AE_Attd,4,20,549
AE_Attd,5,2,168
AE_Attd,7,7,229
AE_Attd,3,15,575
AE_Attd,4,0,219
AE_Attd,1,4,135
AE_Attd,3,11,599
AE_Attd,2,5,125
AE_Attd,7,15,674
AE_Attd,2,2,162
AE_Attd,4,7,203
AE_Attd,6,13,656
AE_Attd,6,7,208
AE_Attd,5,23,300
AE_Attd,7,19,566
AE_Attd,4,5,134
AE_Attd,1,10,774
AE_Attd,3,12,629
AE_Attd,4,2,159
AE_Attd,7,21,445
AE_Attd,2,21,453
AE_Attd,3,10,586
AE_Attd,2,3,138
AE_Attd,2,19,673
AE_Attd,7,18,610
AE_Attd,2,6,161
AE_Attd,5,12,589
AE_Attd,2,16,596
AE_Attd,1,8,486
AE_Attd,2,22,394
AE_Attd,7,20,537
AE_Attd,7,23,315
AE_Attd,3,1,187
AE_Attd,5,14,579
AE_Attd,4,6,126
AE_Attd,4,3,155
AE_Attd,3,8,385
AE_Attd,4,17,619
AE_Attd,5,1,183
AE_Attd,2,20,531
AE_Attd,5,18,619
AE_Attd,4,22,358
AE_Attd,1,11,755
AE_Attd,2,17,545
AE_Attd,7,9,667
AE_Attd,7,14,712
AE_Attd,2,0,210
AE_Attd,1,17,648
AE_Attd,6,14,718
AE_Attd,6,12,679
AE_Attd,3,3,159
AE_Attd,3,16,566
AE_Attd,1,16,658
AE_Attd,2,8,337
AE_Attd,4,1,210
AE_Attd,1,20,551
AE_Attd,3,6,128
AE_Attd,5,6,158
AE_Attd,5,13,607
AE_Attd,3,22,376
AE_Attd,4,8,345
AE_Attd,5,22,337
AE_Attd,7,4,179
AE_Attd,2,11,613
AE_Attd,6,9,589
AE_Attd,6,18,561
AE_Attd,3,17,594
AE_Attd,6,1,220
AE_Attd,3,7,231
AE_Attd,3,0,234
AE_Attd,1,5,142
AE_Attd,1,9,666
AE_Attd,1,2,158
AE_Attd,1,15,626
AE_Attd,7,13,718
AE_Attd,4,11,602
AE_Attd,5,0,217
AE_Attd,3,5,124
AE_Attd,6,15,675
AE_Attd,2,10,580
AE_Attd,3,2,162
AE_Attd,5,7,174
AE_Attd,6,23,298
AE_Attd,1,19,603
AE_Attd,1,21,467
AE_Attd,5,5,135
AE_Attd,4,12,642
AE_Attd,4,23,295
AE_Attd,1,3,157
AE_Attd,4,10,569
AE_Attd,1,13,681
AE_Attd,2,7,218
AE_Attd,1,6,154
AE_Attd,7,8,449
AE_Attd,1,22,376
AE_Attd,5,11,573
AE_Attd,6,10,792
AE_Attd,3,4,118
AE_Attd,5,4,133
AE_Attd,7,11,826
AE_Attd,1,0,249
AE_Attd,6,8,379
AE_Attd,1,7,236
AE_Attd,3,13,582
AE_Attd,5,10,565
AE_Attd,2,4,116
AE_Attd,2,13,584
AE_Attd,7,12,705
AE_Attd,7,10,795
AE_Attd,4,4,132
AE_Attd,6,11,727
AE_Attd,5,8,358
AE_Attd,7,1,262
AE_Attd,4,13,551
AE_Attd,6,4,171
AE_Breach,2,9,48
AE_Breach,1,18,126
AE_Breach,6,20,135
AE_Breach,4,19,146
AE_Breach,7,5,50
AE_Breach,3,23,70
AE_Breach,2,1,80
AE_Breach,6,22,111
AE_Breach,2,15,80
AE_Breach,7,2,75
AE_Breach,6,19,122
AE_Breach,5,21,91
AE_Breach,4,9,34
AE_Breach,4,14,53
AE_Breach,5,3,44
AE_Breach,1,12,143
AE_Breach,1,23,118
AE_Breach,6,17,107
AE_Breach,3,18,105
AE_Breach,4,18,105
AE_Breach,6,0,71
AE_Breach,3,14,67
AE_Breach,7,3,73
AE_Breach,3,20,111
AE_Breach,1,14,99
AE_Breach,4,15,72
AE_Breach,5,20,107
AE_Breach,6,5,36
AE_Breach,5,16,74
AE_Breach,7,6,30
AE_Breach,7,17,120
AE_Breach,6,2,52
AE_Breach,1,1,87
AE_Breach,2,18,116
AE_Breach,4,21,109
AE_Breach,2,23,93
AE_Breach,7,22,147
AE_Breach,6,21,132
AE_Breach,7,16,132
AE_Breach,5,19,90
AE_Breach,3,9,42
AE_Breach,5,17,76
AE_Breach,5,9,22
AE_Breach,7,0,114
AE_Breach,2,14,69
AE_Breach,2,12,79
AE_Breach,5,15,60
AE_Breach,6,16,91
AE_Breach,6,3,55
AE_Breach,4,16,66
AE_Breach,3,19,115
AE_Breach,6,6,16
AE_Breach,3,21,93
AE_Breach,4,20,115
AE_Breach,5,2,58
AE_Breach,7,7,25
AE_Breach,3,15,76
AE_Breach,1,17,135
AE_Breach,6,14,67
AE_Breach,6,12,47
AE_Breach,3,3,55
AE_Breach,3,16,81
AE_Breach,1,16,98
AE_Breach,2,8,27
AE_Breach,4,1,64
AE_Breach,1,20,131
AE_Breach,3,6,21
AE_Breach,5,6,22
AE_Breach,5,13,44
AE_Breach,3,22,98
AE_Breach,4,8,25
AE_Breach,5,22,77
AE_Breach,7,4,74
AE_Breach,2,11,67
AE_Breach,6,9,37
AE_Breach,6,18,118
AE_Breach,3,17,86
AE_Breach,6,1,69
AE_Breach,3,7,32
AE_Breach,3,0,78
AE_Breach,1,5,48
AE_Breach,1,9,82
AE_Breach,1,2,59
AE_Breach,1,15,85
AE_Breach,7,13,59
AE_Breach,4,11,52
AE_Breach,5,0,58
AE_Breach,3,5,34
AE_Breach,6,15,107
AE_Breach,2,10,65
AE_Breach,3,2,47
AE_Breach,5,7,8
AE_Breach,6,23,97
AE_Breach,1,19,145
AE_Breach,1,21,133
AE_Breach,5,5,29
AE_Breach,4,12,48
AE_Breach,4,23,78
AE_Breach,1,3,65
AE_Breach,4,10,40
AE_Breach,4,0,70
AE_Breach,1,4,49
AE_Breach,3,11,59
AE_Breach,2,5,44
AE_Breach,7,15,101
AE_Breach,2,2,58
AE_Breach,4,7,19
AE_Breach,6,13,63
AE_Breach,6,7,25
AE_Breach,5,23,78
AE_Breach,7,19,141
AE_Breach,4,5,29
AE_Breach,1,10,127
AE_Breach,3,12,71
AE_Breach,4,2,57
AE_Breach,7,21,147
AE_Breach,2,21,101
AE_Breach,3,10,53
AE_Breach,2,3,58
AE_Breach,2,19,145
AE_Breach,7,18,144
AE_Breach,2,6,22
AE_Breach,5,12,44
AE_Breach,2,16,89
AE_Breach,1,8,46
AE_Breach,2,22,100
AE_Breach,7,20,140
AE_Breach,7,23,141
AE_Breach,3,1,63
AE_Breach,5,14,41
AE_Breach,4,6,22
AE_Breach,4,3,46
AE_Breach,3,8,43
AE_Breach,4,17,80
AE_Breach,5,1,54
AE_Breach,2,20,115
AE_Breach,5,18,99
AE_Breach,4,22,88
AE_Breach,1,11,137
AE_Breach,2,17,100
AE_Breach,7,9,37
AE_Breach,7,14,77
AE_Breach,2,0,88
AE_Breach,1,13,130
AE_Breach,2,7,24
AE_Breach,1,6,40
AE_Breach,7,8,33
AE_Breach,1,22,131
AE_Breach,5,11,38
AE_Breach,6,10,63
AE_Breach,3,4,25
AE_Breach,5,4,30
AE_Breach,7,11,74
AE_Breach,1,0,107
AE_Breach,6,8,21
AE_Breach,1,7,35
AE_Breach,3,13,55
AE_Breach,5,10,40
AE_Breach,2,4,45
AE_Breach,2,13,72
AE_Breach,7,12,64
AE_Breach,7,10,57
AE_Breach,4,4,30
AE_Breach,6,11,51
AE_Breach,5,8,14
AE_Breach,7,1,111
AE_Breach,4,13,45
AE_Breach,6,4,42
AE_Admits,1,0,105
AE_Admits,4,0,135
AE_Admits,7,0,111
AE_Admits,1,1,107
AE_Admits,4,1,97
AE_Admits,2,10,120
AE_Admits,5,10,128
AE_Admits,2,11,130
AE_Admits,2,12,143
AE_Admits,2,13,114
AE_Admits,5,13,133
AE_Admits,3,14,161
AE_Admits,5,15,154
AE_Admits,4,16,141
AE_Admits,7,16,165
AE_Admits,3,17,137
AE_Admits,6,17,122
AE_Admits,7,18,155
AE_Admits,7,19,115
AE_Admits,4,2,108
AE_Admits,7,2,97
AE_Admits,3,20,149
AE_Admits,6,20,130
AE_Admits,1,21,131
AE_Admits,4,21,128
AE_Admits,7,21,129
AE_Admits,1,22,133
AE_Admits,4,22,131
AE_Admits,7,22,123
AE_Admits,7,23,124
AE_Admits,1,3,102
AE_Admits,4,3,90
AE_Admits,1,4,96
AE_Admits,4,4,84
AE_Admits,7,4,78
AE_Admits,2,5,75
AE_Admits,3,6,61
AE_Admits,6,6,67
AE_Admits,1,7,58
AE_Admits,4,7,55
AE_Admits,7,7,76
AE_Admits,7,8,74
AE_Admits,3,9,104
AE_Admits,6,9,85
AE_Admits,2,0,140
AE_Admits,5,0,131
AE_Admits,2,1,116
AE_Admits,5,1,121
AE_Admits,1,10,130
AE_Admits,4,10,122
AE_Admits,7,10,104
AE_Admits,5,11,122
AE_Admits,5,12,120
AE_Admits,1,13,160
AE_Admits,6,14,162
AE_Admits,1,15,168
AE_Admits,4,15,160
AE_Admits,7,15,186
AE_Admits,3,16,157
AE_Admits,6,16,171
AE_Admits,2,17,125
AE_Admits,5,17,144
AE_Admits,3,18,140
AE_Admits,6,18,145
AE_Admits,3,19,128
AE_Admits,6,19,129
AE_Admits,1,2,90
AE_Admits,2,20,121
AE_Admits,3,21,140
AE_Admits,6,21,140
AE_Admits,3,22,135
AE_Admits,6,22,139
AE_Admits,3,23,135
AE_Admits,6,23,121
AE_Admits,7,3,116
AE_Admits,3,4,83
AE_Admits,6,4,91
AE_Admits,5,5,75
AE_Admits,1,6,69
AE_Admits,4,6,62
AE_Admits,7,6,77
AE_Admits,3,7,61
AE_Admits,3,8,78
AE_Admits,6,8,82
AE_Admits,2,9,100
AE_Admits,5,9,98
AE_Admits,6,0,125
AE_Admits,3,1,125
AE_Admits,6,1,119
AE_Admits,3,10,119
AE_Admits,1,11,143
AE_Admits,4,11,117
AE_Admits,7,11,147
AE_Admits,1,12,155
AE_Admits,4,12,139
AE_Admits,7,12,151
AE_Admits,4,13,162
AE_Admits,7,13,159
AE_Admits,2,14,143
AE_Admits,5,14,139
AE_Admits,3,15,148
AE_Admits,6,15,177
AE_Admits,2,16,154
AE_Admits,5,16,126
AE_Admits,1,17,157
AE_Admits,4,17,138
AE_Admits,2,18,128
AE_Admits,5,18,124
AE_Admits,2,19,118
AE_Admits,5,19,130
AE_Admits,2,2,118
AE_Admits,5,2,95
AE_Admits,5,20,143
AE_Admits,2,21,129
AE_Admits,2,22,146
AE_Admits,2,23,128
AE_Admits,5,23,120
AE_Admits,3,3,99
AE_Admits,6,3,99
AE_Admits,2,4,64
AE_Admits,1,5,82
AE_Admits,4,5,60
AE_Admits,7,5,78
AE_Admits,5,6,61
AE_Admits,6,7,67
AE_Admits,2,8,56
AE_Admits,5,8,91
AE_Admits,1,9,88
AE_Admits,4,9,83
AE_Admits,3,0,111
AE_Admits,7,1,104
AE_Admits,6,10,99
AE_Admits,3,11,154
AE_Admits,6,11,140
AE_Admits,3,12,141
AE_Admits,6,12,120
AE_Admits,3,13,138
AE_Admits,6,13,140
AE_Admits,1,14,143
AE_Admits,4,14,145
AE_Admits,7,14,169
AE_Admits,2,15,155
AE_Admits,1,16,171
AE_Admits,7,17,157
AE_Admits,1,18,145
AE_Admits,4,18,158
AE_Admits,1,19,130
AE_Admits,4,19,121
AE_Admits,3,2,113
AE_Admits,6,2,88
AE_Admits,1,20,117
AE_Admits,4,20,139
AE_Admits,7,20,116
AE_Admits,5,21,138
AE_Admits,5,22,123
AE_Admits,1,23,130
